"id","onsite_time","removal_time"
1,0,0.802533647934806
2,0.209340482299456,0.861060756983892
3,0.399641505213617,0.441721872430458
4,0.463802637487855,1.10081649704805
5,0.528699339935161,1.19316092607288
6,0.763050746397873,0.896106106221503
7,0.772325493576936,0.946701881657354
8,0.935147857018952,1.02429238831737
9,1.13924893839458,2.12337506567757
10,1.30515505719533,1.33622545606059
11,1.68903787001622,2.23026072311563
12,1.92991416833896,2.57735065142706
13,2.26455567515557,3.3237028458374
14,2.32431516009602,4.42954997105248
15,2.36937212216181,3.21936420271142
16,2.54508693580352,2.80368010531016
17,2.76586994826796,2.99526060018691
18,3.04681479115815,4.39230822043556
19,3.36079688599269,4.14213736487013
20,3.36648687074608,3.40081215313227
21,3.38714976029963,3.8525318277577
22,3.4419054573478,3.72585193608718
23,3.59917200513023,3.79451636671717
24,3.7701441206675,4.33903162199905
25,3.82806293476792,3.90751314213472
26,4.00608365817223,5.35427238154671
27,4.15832877596755,4.68352752661009
28,4.23144179132739,4.53425406424301
29,4.30343526719762,4.41549810238036
30,4.32479012769536,4.409726685033
31,4.3520332913564,5.31327374682263
32,4.35490330328795,4.84535164497185
33,4.4059566461422,5.20576665757607
34,4.50196476150362,6.15161888162643
35,4.50346251671418,5.40866495572702
36,4.66129008790633,5.07356847744352
37,4.66326191923641,5.89850403357575
38,4.72487136563553,4.79160544839954
39,4.8125291241373,4.97491463069274
40,4.87827348304976,5.5140284159873
41,4.93356322304076,5.1243924372024
42,4.9827867974236,5.07024816444025
43,5.01187997777017,5.34398775198499
44,5.01805447912162,6.33084519419424
45,5.1000510362562,5.1111315581867
46,5.11590681423422,6.00498926181791
47,5.15399675775183,5.52083529535307
48,5.16220380541852,5.32793894795684
49,5.20455243399909,6.79719988209718
50,5.24810967090974,7.67540165885201
