"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
64,53,54,53,48,49,63,54,41,44,47,37,43,25,44,39,48,54,24,45,24,23,23,18,21,33,19,55,56,17,0,64,21,25,66,11,76,65,6,15,17,65,10,77,65,73,19,23,84,95
60,49,50,49,44,45,59,50,37,40,43,31,41,49,24,33,30,10,48,25,48,47,47,54,45,69,55,9,8,53,64,0,65,69,12,63,18,7,60,69,61,7,62,19,7,15,63,67,30,37
65,54,55,54,49,50,64,55,42,45,48,38,44,26,45,40,49,55,25,46,25,24,24,19,22,34,20,56,57,18,21,65,0,26,67,20,77,66,17,26,18,66,19,78,66,74,20,4,85,96
69,58,59,58,53,54,68,59,46,49,52,42,48,30,49,44,53,59,29,50,29,28,28,23,26,38,24,60,61,22,25,69,26,0,71,24,81,70,21,30,12,70,23,82,70,78,14,28,89,100
62,51,52,51,46,47,61,52,39,42,45,33,43,51,26,35,32,12,50,27,50,49,49,56,47,71,57,11,10,55,66,12,67,71,0,65,24,13,62,71,63,13,64,25,13,21,65,69,26,43
63,52,53,52,47,48,62,53,40,43,46,36,42,24,43,38,47,53,23,44,23,22,22,17,20,32,18,54,55,16,11,63,20,24,65,0,75,64,7,16,16,64,9,76,64,72,18,22,83,94
72,61,62,61,56,57,71,62,49,52,55,43,53,61,36,45,42,22,60,37,60,59,59,66,57,81,67,21,20,65,76,18,77,81,24,75,0,17,72,81,73,13,74,23,11,19,75,79,42,41
61,50,51,50,45,46,60,51,38,41,44,32,42,50,25,34,31,11,49,26,49,48,48,55,46,70,56,10,9,54,65,7,66,70,13,64,17,0,61,70,62,6,63,18,6,14,64,68,31,36
60,49,50,49,44,45,59,50,37,40,43,33,39,21,40,35,44,50,20,41,20,19,19,14,17,29,15,51,52,13,6,60,17,21,62,7,72,61,0,11,13,61,6,73,61,69,15,19,80,91
69,58,59,58,53,54,68,59,46,49,52,42,48,30,49,44,53,59,29,50,29,28,28,23,26,38,24,60,61,22,15,69,26,30,71,16,81,70,11,0,22,70,15,82,70,78,24,28,89,100
61,50,51,50,45,46,60,51,38,41,44,34,40,22,41,36,45,51,21,42,21,20,20,15,18,30,16,52,53,14,17,61,18,12,63,16,73,62,13,22,0,62,15,74,62,70,6,20,81,92
61,50,51,50,45,46,60,51,38,41,44,32,42,50,25,34,31,11,49,26,49,48,48,55,46,70,56,10,9,54,65,7,66,70,13,64,13,6,61,70,62,0,63,14,2,10,64,68,31,32
62,51,52,51,46,47,61,52,39,42,45,35,41,23,42,37,46,52,22,43,22,21,21,16,19,31,17,53,54,15,10,62,19,23,64,9,74,63,6,15,15,63,0,75,63,71,17,21,82,93
73,62,63,62,57,58,72,63,50,53,56,44,54,62,37,46,43,23,61,38,61,60,60,67,58,82,68,22,21,66,77,19,78,82,25,76,23,18,73,82,74,14,75,0,12,20,76,80,43,42
61,50,51,50,45,46,60,51,38,41,44,32,42,50,25,34,31,11,49,26,49,48,48,55,46,70,56,10,9,54,65,7,66,70,13,64,11,6,61,70,62,2,63,12,0,8,64,68,31,30
69,58,59,58,53,54,68,59,46,49,52,40,49,58,33,42,39,19,57,34,57,56,56,63,54,78,64,18,17,62,73,15,74,78,21,72,19,14,69,78,70,10,71,20,8,0,72,76,39,34
63,52,53,52,47,48,62,53,40,43,46,36,42,24,43,38,47,53,23,44,23,22,22,17,20,32,18,54,55,16,19,63,20,14,65,18,75,64,15,24,6,64,17,76,64,72,0,22,83,94
67,56,57,56,51,52,66,57,44,47,50,40,46,28,47,42,51,57,27,48,27,26,26,21,24,36,22,58,59,20,23,67,4,28,69,22,79,68,19,28,20,68,21,80,68,76,22,0,87,98
80,69,70,69,64,65,79,70,57,60,63,51,61,69,44,53,50,30,68,45,68,67,67,74,65,89,75,29,28,73,84,30,85,89,26,83,42,31,80,89,81,31,82,43,31,39,83,87,0,61
91,80,81,80,75,76,90,81,68,71,74,62,72,80,55,64,61,41,79,56,79,78,78,85,76,100,86,40,39,84,95,37,96,100,43,94,41,36,91,100,92,32,93,42,30,34,94,98,61,0
